dataset,subject_id,n_trials,n_responded,n_missed,miss_rate,encoding_accuracy,rt_mean,rt_median,rt_std,rt_cv,Objects_n,Objects_rt_mean,Objects_rt_std,Objects_miss,Scenes_n,Scenes_rt_mean,Scenes_rt_std,Scenes_miss
item_only,00026,280,280,0,0.0,0.8181818181818182,1.3105937046387615,1.195638000004692,0.44945215992157894,0.34293782911574516,140,1.3967289307096507,0.42711895283451834,0,140,1.2244584785678723,0.4561708794316239,0
item_only,00027,280,280,0,0.0,0.7532467532467533,1.1089475971430407,0.9314730500045698,0.5348158526485335,0.4822733319648005,140,0.9915021721432692,0.4473896178638701,0,140,1.226393022142812,0.588362945289782,0
item_only,00028,280,280,0,0.0,0.8152866242038217,1.4528244017853078,1.3316240499989362,0.637543623361267,0.4388304757118751,140,1.4663806557137702,0.6565056449235149,0,140,1.4392681478568452,0.6200629640973255,0
item_only,00029,280,280,0,0.0,0.8175675675675675,1.420225660361965,1.2326964500243776,0.6715030516126737,0.47281433532297357,140,1.562377545722328,0.662509094722833,0,140,1.278073775001602,0.6522678369048585,0
item_only,00030,280,280,1,0.0035714285714285713,0.8544303797468354,1.3857097802867175,1.2567809000029229,0.5244528288350954,0.3784723441344123,140,1.5235282735712774,0.49796221154797526,0,140,1.24689978705047,0.5154100406854345,1
item_only,00031,280,280,0,0.0,0.8113207547169812,1.5111350589285264,1.3987818000023253,0.69689081438964,0.4611704362704495,140,1.5787019792852723,0.6964686307761551,0,140,1.4435681385717805,0.6932118936588889,0
item_only,00032,280,280,0,0.0,0.8581081081081081,1.2029476625002904,1.049145099997986,0.476621915939226,0.39621168135326995,140,1.3000079200010597,0.5044482062145006,0,140,1.105887404999521,0.4272309415702495,0
item_only,00033,280,280,0,0.0,0.8074534161490683,1.7294554514269944,1.8296255999593996,0.7645531634671562,0.44207739657955003,140,1.7785572985702727,0.7711961005276006,0,140,1.680353604283716,0.7574221514950333,0
item_only,00034,280,280,0,0.0,0.8108108108108109,1.5401895978571183,1.4591934999916703,0.6461878097347715,0.41955082064819765,140,1.566147674286289,0.6448509102298788,0,140,1.5142315214279474,0.6487922279548353,0
item_only,00035,280,280,0,0.0,0.7960526315789473,1.1904946289293419,1.0725007499859203,0.7219206877178606,0.6064039855157616,140,1.2001521378585105,0.7568897058447949,0,140,1.1808371200001733,0.6877633864022398,0
item_only,00036,280,280,0,0.0,0.75625,1.6447326282136991,1.617740749992663,0.7033311500092579,0.42762643480425594,140,1.760493250001621,0.6969859816913602,0,140,1.528972006425777,0.6929104624248483,0
item_only,00037,280,280,2,0.007142857142857143,0.7792207792207793,1.2729116194256918,1.083471149991965,0.6634277519477626,0.5211891712066277,140,1.338462436958081,0.7200516950255494,2,140,1.2082972421437652,0.598014117921165,0
item_only,00038,280,280,0,0.0,0.7692307692307693,1.0004122892914373,0.8177096499712206,0.4830754226928641,0.48287633794963897,140,1.1240462771475515,0.5001694661395085,0,140,0.8767783014353232,0.4329462279616144,0
item_only,00039,280,280,1,0.0035714285714285713,0.7848101265822784,1.2066455655908597,1.0616434999974445,0.6041486752846871,0.5006844532585282,140,1.3903905407134776,0.6481993780163557,0,140,1.0215786841723955,0.49327931822085824,1
item_only,00040,280,280,0,0.0,0.7894736842105263,1.1784194378575195,1.1251356499851681,0.37898440418953966,0.32160399940327694,140,1.2767270350005544,0.37769527994626734,0,140,1.0801118407144843,0.3552043256991607,0
item_only,00041,280,280,0,0.0,0.7891156462585034,1.5907486953581351,1.5319763000006787,0.6378005492929417,0.400943625573334,140,1.6152683150002434,0.6934378617642064,0,140,1.5662290757160269,0.5783065646032671,0
item_only,00042,280,280,0,0.0,0.7733333333333333,1.493371958926894,1.4561139000288676,0.5638613933912948,0.3775759883669397,140,1.4753737235707896,0.5426462470289581,0,140,1.511370194282998,0.5857040159958424,0
item_only,00043,280,280,1,0.0035714285714285713,0.7792207792207793,1.3182690551976621,1.1319620000140276,0.6219769965261162,0.4718133935358564,140,1.44698556000055,0.6575249631393525,0,140,1.18862653237461,0.5568737474511588,1
item_only,00044,280,280,2,0.007142857142857143,0.803680981595092,1.622547511510943,1.5422152999963146,0.6631541345590846,0.40871168939857083,140,1.6122603712234103,0.6694418381576566,1,140,1.6328346517984755,0.6590660189182042,1
item_only,00045,280,280,0,0.0,0.8461538461538461,1.2199604946429774,1.0136706499906722,0.5251123859841378,0.43043392658203444,140,1.3339397642852937,0.56468611081443,0,140,1.105981225000661,0.45654126010598517,0
item_only,00046,280,280,0,0.0,0.7672955974842768,1.2716942839289134,1.052640900015831,0.6774142281904911,0.5326863828447923,140,1.2989668328581112,0.7389377940521118,0,140,1.2444217349997155,0.6111907156595373,0
item_only,00047,280,280,0,0.0,0.8238993710691824,1.4505719714278322,1.3171652000164613,0.6691170380840832,0.46127806910914976,140,1.5910631478572863,0.7020926245557602,0,140,1.3100807949983782,0.6049484439593311,0
item_only,00048,280,280,0,0.0,0.743421052631579,1.2126594535714244,0.9877028500000051,0.8764792612912898,0.7227744431546347,140,1.2540530914285617,0.8886979984041474,0,140,1.1712658157142868,0.8652877390873387,0
item_only,00049,280,280,1,0.0035714285714285713,0.8269230769230769,1.529156422581754,1.4030558000085875,0.7282121566491797,0.4762182245683548,140,1.5584518748198186,0.7079781998626636,1,140,1.5000702235739611,0.7491651590794441,0
item_only,00050,280,280,0,0.0,0.7806451612903226,0.9670250128569023,0.4893719000028795,1.0995825766097729,1.1370776991189224,140,1.157434830713776,1.2281908902344156,0,140,0.7766151950000286,0.9194431946325451,0
item_only,00051,280,280,3,0.010714285714285714,0.8012820512820513,1.384472263898761,1.2460432999650948,0.6251926509998212,0.45157470272408307,140,1.4763720890496055,0.7085661088684837,3,140,1.2945417207154346,0.5180810868248947,0
item_only,00052,280,280,0,0.0,0.7961783439490446,1.2880344249999796,1.0482911000001423,0.7679602692299996,0.5962265094195847,140,1.3132006421428384,0.788246966300381,0,140,1.262868207857121,0.7491059869583887,0
item_only,00053,280,280,0,0.0,0.825503355704698,1.729656702857249,1.797718150000037,0.7223912611007037,0.4176500804508626,140,1.6946823150001755,0.7038365455244543,0,140,1.7646310907143223,0.7413519272293251,0
item_only,00054,280,280,2,0.007142857142857143,0.8089171974522293,1.4150568352517647,1.3238669999991544,0.7732200103518693,0.5464232892202519,140,1.478401278984139,0.8493688806848214,2,140,1.352617312144139,0.6873714528582162,0
item_only,00055,280,280,0,0.0,0.7857142857142857,1.285370842500041,1.0901345999736805,0.5960191837135707,0.4636943394128311,140,1.392391344999695,0.6635833009269013,0,140,1.178350340000387,0.49961889464400294,0
item_only,00056,280,280,0,0.0,0.785234899328859,1.4455686235705798,1.2973483000096167,0.6566062278977645,0.4542200329970746,140,1.590928716428503,0.6295345691128824,0,140,1.3002085307126565,0.6530606671016763,0
task_only,00019,280,280,0,0.0,0.8936170212765957,1.8085037100000314,1.8146749499996984,0.5642477914704931,0.31199703287890035,280,1.8085037100000314,0.5642477914704931,0,0,,,0
task_only,00020,280,280,0,0.0,0.9534883720930232,1.6826077600001554,1.679145050000443,0.6503868844515328,0.3865350558299296,280,1.6826077600001554,0.6503868844515328,0,0,,,0
task_only,00021,280,280,1,0.0035714285714285713,1.0,1.757992864874713,1.733508500001335,0.8103918525132056,0.46097562095108946,280,1.757992864874713,0.8103918525132056,1,0,,,0
task_only,00022,280,280,0,0.0,0.9615384615384616,1.513344355357133,1.4351297999965027,0.5292955779867796,0.3497522398739655,280,1.513344355357133,0.5292955779867796,0,0,,,0
task_only,00023,280,280,2,0.007142857142857143,0.9767441860465116,1.7561369190650942,1.7145316999885836,0.789668969321493,0.449662529583334,280,1.7561369190650942,0.789668969321493,2,0,,,0
task_only,00024,280,280,0,0.0,0.9318181818181818,1.542391738571366,1.3336686000038753,1.3295813126808786,0.8620256964760443,280,1.542391738571366,1.3295813126808786,0,0,,,0
task_only,00025,280,280,1,0.0035714285714285713,0.9743589743589745,1.7499105620071642,1.8589206000006016,0.7789996834666442,0.44516542752512106,280,1.7499105620071642,0.7789996834666442,1,0,,,0
task_only,00026,280,280,0,0.0,0.9761904761904762,1.8132713975000132,1.9695729000000028,0.7111944722157404,0.3922162303978741,280,1.8132713975000132,0.7111944722157404,0,0,,,0
task_only,00027,280,280,0,0.0,1.0,0.8294057524999712,0.6145382000001973,0.6387007892457596,0.770070363414536,280,0.8294057524999712,0.6387007892457596,0,0,,,0
task_only,00028,280,280,0,0.0,0.9423076923076924,1.3134291525000208,1.2058047499995155,0.4591895671650359,0.34961121906804077,280,1.3134291525000208,0.4591895671650359,0,0,,,0
task_only,00029,280,280,0,0.0,0.9555555555555556,1.6650718675000202,1.6077869499986264,0.6650790069807151,0.39942961019411194,280,1.6650718675000202,0.6650790069807151,0,0,,,0
task_only,00030,280,280,2,0.007142857142857143,0.9803921568627452,1.7786209093525152,1.95003174999988,0.8136874134720847,0.4574822038768776,280,1.7786209093525152,0.8136874134720847,2,0,,,0
task_only,00032,280,280,0,0.0,0.9361702127659576,1.6495970510714024,1.576472250000279,0.6284984870583924,0.381001218843224,280,1.6495970510714024,0.6284984870583924,0,0,,,0
task_only,00033,280,280,0,0.0,1.0,1.3481114007142854,1.1724051999999574,0.5913191225630852,0.43862778866032864,280,1.3481114007142854,0.5913191225630852,0,0,,,0
task_only,00034,280,280,0,0.0,0.9069767441860463,1.7707605910719264,1.746617699995113,0.6496494064513961,0.36687591181263646,280,1.7707605910719264,0.6496494064513961,0,0,,,0
task_only,00035,280,280,1,0.0035714285714285713,0.9111111111111112,1.6816979494635567,1.5780607000051532,0.9763679187658707,0.5805845925407244,280,1.6816979494635567,0.9763679187658707,1,0,,,0
task_only,00036,280,280,1,0.0035714285714285713,0.94,1.4629337806458038,1.4233932000061031,0.5618521957892251,0.3840585289794857,280,1.4629337806458038,0.5618521957892251,1,0,,,0
task_only,00037,280,280,0,0.0,0.9767441860465116,1.3314757303566565,1.2104737000045134,0.5346300479773599,0.4015319511938464,280,1.3314757303566565,0.5346300479773599,0,0,,,0
task_only,00038,280,280,1,0.0035714285714285713,0.8936170212765957,1.7149866078853786,1.8856847000060952,0.8558312875741547,0.49903088667812756,280,1.7149866078853786,0.8558312875741547,1,0,,,0
task_only,00039,280,280,0,0.0,0.9545454545454546,1.624422771071217,1.5838073000195436,0.6646752198509904,0.4091762512124069,280,1.624422771071217,0.6646752198509904,0,0,,,0
task_only,00040,280,280,0,0.0,0.9347826086956522,1.6567741928567037,1.599313450002228,0.5889497223702748,0.3554797780588158,280,1.6567741928567037,0.5889497223702748,0,0,,,0
task_only,00041,280,280,1,0.0035714285714285713,0.875,1.4096022050201436,1.3137427000328898,0.5665703304178035,0.40193632529803475,280,1.4096022050201436,0.5665703304178035,1,0,,,0
task_only,00042,280,280,2,0.007142857142857143,0.951219512195122,1.668177846761164,1.659959250013344,0.8289259964575394,0.4969050500622181,280,1.668177846761164,0.8289259964575394,2,0,,,0
task_only,00043,280,280,0,0.0,0.9444444444444444,1.5529556489271013,1.5722972999938065,0.7231942689745435,0.4656889393294526,280,1.5529556489271013,0.7231942689745435,0,0,,,0
task_only,00044,280,280,0,0.0,0.9736842105263158,1.5944282632145976,1.627533750004659,0.7797050934727909,0.48901861028278115,280,1.5944282632145976,0.7797050934727909,0,0,,,0
task_only,00045,280,280,0,0.0,0.8666666666666667,1.692711890355817,1.6565985000052024,0.596007580527341,0.35210219998044506,280,1.692711890355817,0.596007580527341,0,0,,,0
task_only,00046,280,280,0,0.0,0.9591836734693876,1.8407264725020338,1.8254494499997236,1.0920875040080609,0.5932915728232154,280,1.8407264725020338,1.0920875040080609,0,0,,,0
task_only,00047,280,280,0,0.0,0.94,1.475776766787125,1.396629299997585,0.7193529367761795,0.48744020976984476,280,1.475776766787125,0.7193529367761795,0,0,,,0
task_only,00048,280,280,0,0.0,0.9310344827586208,1.5524825378583045,1.5098658000351861,0.6699685144090445,0.43154657013616776,280,1.5524825378583045,0.6699685144090445,0,0,,,0
task_only,00049,280,280,2,0.007142857142857143,0.9583333333333334,0.9475070500002861,0.41104425000958145,0.8787692608170753,0.9274540604387165,280,0.9475070500002861,0.8787692608170753,2,0,,,0
task_only,00050,280,280,0,0.0,0.9302325581395348,1.7581228371428632,1.7762066500001765,0.5230999437079442,0.29753321705213576,280,1.7581228371428632,0.5230999437079442,0,0,,,0
task_only,00051,280,280,1,0.0035714285714285713,0.9583333333333334,1.6239269698924539,1.639152899999317,0.9254968564309638,0.5699128554360149,280,1.6239269698924539,0.9254968564309638,1,0,,,0
task_only,00052,280,280,1,0.0035714285714285713,0.925,1.09609963225807,0.429131500000949,1.1391708667808722,1.039294999519406,280,1.09609963225807,1.1391708667808722,1,0,,,0
task_only,00053,280,280,0,0.0,0.9555555555555556,1.7126007014293074,1.7880943500204012,0.8115868452316395,0.47389145908576524,280,1.7126007014293074,0.8115868452316395,0,0,,,0
task_only,00054,280,280,4,0.014285714285714285,0.8367346938775511,1.575301258696962,1.35107259999495,1.6126938669724846,1.0237367983229142,280,1.575301258696962,1.6126938669724846,4,0,,,0
task_only,00055,280,280,1,0.0035714285714285713,0.9361702127659576,1.5389816480293188,1.488957300025504,0.7775684237015237,0.5052486653737605,280,1.5389816480293188,0.7775684237015237,1,0,,,0
task_only,00056,280,280,0,0.0,0.9807692307692308,1.5482282892842445,1.5421796000155155,0.4220931598011144,0.2726297941476387,280,1.5482282892842445,0.4220931598011144,0,0,,,0
task_only,00057,280,280,0,0.0,0.92,1.5064594807144853,1.4998745500051882,0.4989621103753459,0.33121508859879695,280,1.5064594807144853,0.4989621103753459,0,0,,,0
task_only,00058,280,280,0,0.0,0.9782608695652174,1.642975252499621,1.5854602999970666,0.6699285571113174,0.40775328544485906,280,1.642975252499621,0.6699285571113174,0,0,,,0
task_only,00059,280,280,0,0.0,0.9772727272727272,0.5078107621412657,0.2924611000053119,0.5957244129727564,1.1731228587216005,280,0.5078107621412657,0.5957244129727564,0,0,,,0
task_only,00060,280,280,0,0.0,0.9166666666666666,1.447181527142571,1.3787484999920707,0.6559165437180113,0.45323722796068616,280,1.447181527142571,0.6559165437180113,0,0,,,0
task_only,00061,280,280,4,0.014285714285714285,1.0,1.5790376394900216,1.632684549986152,0.7400370076995828,0.46866331060898014,280,1.5790376394900216,0.7400370076995828,4,0,,,0
task_only,00062,280,280,0,0.0,0.8297872340425532,1.5100447953571088,1.4609029999992345,0.6827662731441965,0.45214968141572903,280,1.5100447953571088,0.6827662731441965,0,0,,,0
task_only,00063,280,280,0,0.0,0.9111111111111112,1.4453246242858637,1.4002697999985685,0.46286940272652033,0.3202529002473922,280,1.4453246242858637,0.46286940272652033,0,0,,,0
task_only,00064,280,280,0,0.0,0.8541666666666666,1.7705681353564224,1.9396776000212412,0.8034750543853055,0.4537950493633857,280,1.7705681353564224,0.8034750543853055,0,0,,,0
task_only,00065,280,280,1,0.0035714285714285713,0.875,1.5450057605732948,1.441211099998327,0.6246943959337764,0.4043314347915281,280,1.5450057605732948,0.6246943959337764,1,0,,,0
task_only,00066,280,280,0,0.0,0.9487179487179488,1.2657979196428772,1.1581827499999235,0.5388616236262052,0.4257090450727202,280,1.2657979196428772,0.5388616236262052,0,0,,,0
task_only,00067,280,280,0,0.0,0.975609756097561,1.4903796528570639,1.4971759499985637,1.0017250930503512,0.6721274617041638,280,1.4903796528570639,1.0017250930503512,0,0,,,0
task_only,00068,280,280,0,0.0,0.9761904761904762,1.9406660282143484,1.8883316999999809,0.49096639829848154,0.25298860863258943,280,1.9406660282143484,0.49096639829848154,0,0,,,0
task_only,00069,280,280,0,0.0,0.951219512195122,1.6745815135714566,1.6596726499992656,0.8483448059646748,0.5066010815773136,280,1.6745815135714566,0.8483448059646748,0,0,,,0
task_only,00070,280,280,0,0.0,,1.4859579114291201,1.356723350007087,0.5164591460319499,0.3475597404607815,280,1.4859579114291201,0.5164591460319499,0,0,,,0
task_only,00071,280,280,0,0.0,0.975609756097561,1.4903796528570639,1.4971759499985637,1.0017250930503512,0.6721274617041638,280,1.4903796528570639,1.0017250930503512,0,0,,,0
task_only,00072,280,280,2,0.007142857142857143,1.0,1.2881246345325392,1.2198919499933254,0.8913586882960025,0.6919817107755857,280,1.2881246345325392,0.8913586882960025,2,0,,,0
